Gender,Age,Partner,Dependents,Tenure,Contract Type,Payment Method,Internet Service,Phone Service,Multiple Lines,TV,Streaming,Monthly Charges,Total Charges,Churn
Male,41,No,No,64,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,Yes,82.45,5288.85,No
Female,55,No,Yes,39,Two year,Credit card,DSL,Yes,No,No,Yes,58.06,2287.4,No
Female,20,Yes,No,41,Two year,Credit card,No,Yes,Yes,Yes,Yes,45.75,1863.72,No
Female,29,No,No,4,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,No,No,73.67,305.48,Yes
Male,66,Yes,No,15,Month-to-month,Electronic check,DSL,Yes,No,Yes,Yes,68.81,1025.02,No
Female,41,Yes,No,5,Month-to-month,Electronic check,Fiber optic,Yes,Yes,Yes,Yes,87.36,437.75,Yes
Female,44,No,No,70,Two year,Credit card,No,Yes,Yes,Yes,Yes,46.51,3263.86,No
Male,51,Yes,No,55,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,74.57,4081.31,No
Female,45,Yes,No,39,Month-to-month,Electronic check,DSL,Yes,Yes,No,Yes,53.01,2047.55,No
Male,65,Yes,No,49,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,Yes,85.43,4203.57,No
Female,33,Yes,No,11,One year,Bank transfer,DSL,No,No,No,No,48.42,519.1,No
Male,65,No,No,71,Month-to-month,Mailed check,Fiber optic,Yes,Yes,No,No,71.62,5110.34,No
Female,30,No,No,37,Two year,Credit card,Fiber optic,Yes,No,No,No,73.19,2672.55,Yes
Female,40,Yes,No,37,Two year,Mailed check,No,Yes,Yes,Yes,Yes,44.55,1667.03,No
Female,54,Yes,No,69,Month-to-month,Electronic check,Fiber optic,Yes,Yes,Yes,Yes,77.76,5365.31,No
Female,72,Yes,Yes,6,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,No,84.62,505.83,No
Female,32,No,Yes,30,Month-to-month,Mailed check,Fiber optic,Yes,No,No,No,63.71,1914.15,Yes
Male,54,No,No,6,Month-to-month,Electronic check,No,No,No,No,Yes,22.28,104.74,Yes
Male,21,Yes,Yes,30,Month-to-month,Electronic check,DSL,Yes,No,Yes,Yes,70.75,2144.88,Yes
Female,22,Yes,No,19,Month-to-month,Electronic check,Fiber optic,Yes,No,No,Yes,77.1,1456.27,Yes
Female,65,No,No,33,Month-to-month,Electronic check,No,No,No,No,No,16.16,516.63,No
Male,62,No,No,50,Two year,Credit card,No,Yes,No,Yes,No,30.65,1575.89,No
Male,41,Yes,No,20,Month-to-month,Electronic check,Fiber optic,Yes,No,No,Yes,72.6,1444.98,Yes
Female,56,No,No,3,Two year,Mailed check,Fiber optic,Yes,No,No,No,66.0,180.72,Yes
Female,41,Yes,No,11,Month-to-month,Bank transfer,DSL,Yes,No,Yes,No,61.95,697.67,No
Male,35,Yes,Yes,51,Month-to-month,Electronic check,Fiber optic,Yes,Yes,Yes,No,78.51,4009.25,No
Male,44,No,No,41,Month-to-month,Mailed check,DSL,Yes,No,No,Yes,51.66,2138.17,No
Male,37,Yes,Yes,70,Month-to-month,Credit card,Fiber optic,Yes,No,No,No,66.2,4635.66,No
Female,68,Yes,No,64,Month-to-month,Mailed check,Fiber optic,Yes,Yes,No,Yes,79.22,5089.39,No
Male,43,No,No,11,Two year,Mailed check,No,Yes,Yes,No,No,24.25,307.85,No
Female,37,No,No,52,Two year,Credit card,No,Yes,Yes,Yes,Yes,41.46,2140.77,No
Male,51,Yes,No,6,Month-to-month,Credit card,No,No,No,Yes,No,29.74,169.27,No
Male,64,No,No,6,Month-to-month,Credit card,Fiber optic,Yes,No,No,No,67.6,373.52,No
Female,34,No,No,57,Month-to-month,Mailed check,Fiber optic,Yes,Yes,No,Yes,75.7,4322.58,No
Female,76,No,No,28,One year,Bank transfer,DSL,Yes,No,No,No,46.52,1304.95,No
Female,46,No,No,71,Month-to-month,Mailed check,Fiber optic,Yes,Yes,No,No,79.96,5702.46,No
Female,58,No,Yes,0,Month-to-month,Electronic check,Fiber optic,Yes,No,No,Yes,87.87,0.0,Yes
Female,77,Yes,No,36,Two year,Mailed check,Fiber optic,Yes,Yes,No,Yes,80.23,2886.62,No
Female,44,Yes,Yes,22,Two year,Credit card,Fiber optic,Yes,Yes,No,Yes,83.62,1843.65,No
Female,30,No,No,70,One year,Electronic check,No,Yes,No,No,No,20.3,1416.35,No
Male,64,No,No,48,Month-to-month,Credit card,Fiber optic,Yes,Yes,No,Yes,77.05,3705.72,Yes
Male,18,Yes,Yes,55,Month-to-month,Credit card,Fiber optic,Yes,Yes,No,Yes,82.25,4528.27,Yes
Female,46,Yes,No,20,Month-to-month,Electronic check,Fiber optic,Yes,No,No,Yes,65.18,1314.42,Yes
Male,78,No,Yes,64,One year,Electronic check,Fiber optic,No,No,Yes,No,76.86,4914.68,No
Female,43,Yes,Yes,60,One year,Credit card,Fiber optic,No,No,No,No,62.18,3741.63,No
Female,60,Yes,Yes,56,Month-to-month,Electronic check,Fiber optic,Yes,No,No,No,64.61,3630.54,No
Male,50,No,Yes,34,Two year,Bank transfer,Fiber optic,Yes,No,Yes,No,79.94,2711.46,No
Female,31,No,No,66,Month-to-month,Electronic check,DSL,Yes,No,Yes,No,65.21,4302.37,No
Male,37,No,No,48,One year,Electronic check,Fiber optic,Yes,No,Yes,No,76.43,3665.36,No
Female,50,No,No,4,Month-to-month,Electronic check,No,No,No,No,No,21.46,61.3,No
Male,24,Yes,No,63,Month-to-month,Electronic check,DSL,No,No,Yes,No,55.27,3472.19,No
Male,43,No,No,1,Month-to-month,Credit card,Fiber optic,Yes,No,Yes,No,79.2,94.41,No
Female,43,Yes,No,49,One year,Electronic check,Fiber optic,Yes,Yes,Yes,Yes,83.02,4084.73,No
Female,69,Yes,No,17,Month-to-month,Electronic check,Fiber optic,Yes,Yes,Yes,No,82.12,1402.77,Yes
Male,25,No,Yes,64,Month-to-month,Bank transfer,No,No,No,No,No,20.92,1318.67,No
Female,70,No,No,52,One year,Credit card,Fiber optic,No,No,No,No,51.35,2689.85,No
Female,43,No,No,58,One year,Electronic check,No,Yes,No,Yes,No,37.29,2199.74,No
Male,58,Yes,Yes,50,One year,Bank transfer,No,Yes,Yes,No,Yes,27.48,1385.95,No
Female,52,No,No,40,One year,Electronic check,Fiber optic,Yes,No,Yes,No,78.64,3145.59,No
Female,36,No,No,62,One year,Credit card,Fiber optic,Yes,No,No,Yes,84.59,5227.23,No
Male,75,No,No,21,One year,Bank transfer,No,Yes,Yes,No,No,26.78,562.12,No
Female,31,No,No,38,Month-to-month,Credit card,No,No,No,No,No,15.0,560.1,No
Female,20,Yes,No,21,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,No,No,75.8,1587.73,Yes
Female,64,No,No,8,Month-to-month,Credit card,DSL,Yes,No,No,No,57.01,481.86,Yes
Female,56,No,No,63,Month-to-month,Electronic check,DSL,Yes,Yes,Yes,No,55.46,3511.45,No
Female,73,No,Yes,35,Month-to-month,Bank transfer,Fiber optic,Yes,No,Yes,Yes,73.2,2555.21,No
Male,46,No,No,3,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,Yes,No,86.91,262.5,Yes
Female,19,No,No,59,Month-to-month,Electronic check,Fiber optic,Yes,Yes,Yes,Yes,92.27,5443.89,Yes
Male,19,Yes,No,67,One year,Credit card,Fiber optic,Yes,Yes,Yes,No,82.92,5547.27,No
Female,44,Yes,No,47,One year,Bank transfer,Fiber optic,Yes,Yes,No,Yes,71.0,3310.17,No
Male,33,No,No,23,One year,Credit card,DSL,No,No,Yes,Yes,62.99,1465.29,No
Male,75,No,No,61,Two year,Electronic check,No,Yes,Yes,Yes,No,41.17,2534.87,No
Male,25,No,Yes,53,Month-to-month,Credit card,DSL,No,No,Yes,No,63.78,3368.3,No
Female,72,Yes,Yes,20,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,Yes,83.59,1658.79,Yes
Male,31,Yes,Yes,23,Month-to-month,Credit card,No,Yes,Yes,No,No,28.8,680.45,Yes
Male,25,No,No,71,Month-to-month,Electronic check,DSL,Yes,No,No,Yes,46.24,3269.48,No
Female,35,No,Yes,68,Month-to-month,Bank transfer,DSL,Yes,Yes,No,Yes,64.84,4381.51,No
Female,26,Yes,No,48,Two year,Electronic check,No,Yes,No,No,Yes,36.72,1753.73,No
Male,42,No,No,2,Month-to-month,Bank transfer,No,No,No,No,Yes,29.02,85.16,Yes
Female,38,Yes,No,16,Month-to-month,Electronic check,No,Yes,Yes,Yes,No,41.94,660.54,Yes
Male,50,Yes,No,25,Month-to-month,Credit card,DSL,Yes,No,No,No,46.09,1139.31,No
Male,51,Yes,No,38,Month-to-month,Credit card,Fiber optic,Yes,Yes,Yes,No,79.91,3027.13,No
Female,18,Yes,No,62,One year,Electronic check,DSL,Yes,Yes,Yes,No,60.1,3703.47,No
Male,25,Yes,Yes,61,One year,Credit card,DSL,No,No,No,Yes,57.5,3480.91,No
Female,28,No,No,19,One year,Bank transfer,No,Yes,No,No,No,30.61,576.31,No
Female,30,No,Yes,7,One year,Mailed check,DSL,Yes,No,No,No,51.59,333.06,No
Female,23,No,No,19,Month-to-month,Electronic check,Fiber optic,Yes,Yes,Yes,No,82.33,1556.24,Yes
Male,37,Yes,No,16,Month-to-month,Electronic check,DSL,Yes,No,No,Yes,59.75,961.34,No
Female,52,Yes,Yes,64,One year,Electronic check,Fiber optic,Yes,Yes,No,Yes,78.32,5019.86,No
Female,37,Yes,Yes,1,Month-to-month,Mailed check,DSL,Yes,No,No,Yes,63.81,61.0,No
Male,38,No,No,59,Month-to-month,Mailed check,DSL,Yes,Yes,No,Yes,57.74,3382.71,No
Male,47,Yes,No,47,Month-to-month,Mailed check,DSL,Yes,Yes,No,No,55.15,2583.72,No
Male,52,No,No,7,One year,Credit card,No,Yes,No,Yes,Yes,37.02,266.04,No
Female,38,No,Yes,49,Month-to-month,Electronic check,Fiber optic,No,No,Yes,No,77.73,3821.39,Yes
Female,31,No,Yes,41,Two year,Credit card,Fiber optic,Yes,No,Yes,No,77.5,3172.12,No
Male,43,Yes,No,0,Month-to-month,Credit card,Fiber optic,Yes,No,No,Yes,87.33,0.0,Yes
Female,19,Yes,No,16,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,No,69.37,1111.55,No
Female,48,Yes,Yes,25,Month-to-month,Mailed check,Fiber optic,Yes,No,No,Yes,81.69,2035.1,No
Female,76,Yes,Yes,15,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,No,74.85,1102.34,No
Male,42,No,No,41,Month-to-month,Credit card,Fiber optic,Yes,Yes,Yes,Yes,86.46,3551.16,No
Male,24,Yes,No,44,One year,Bank transfer,No,No,No,Yes,No,27.79,1223.12,No
Male,61,No,No,12,Month-to-month,Credit card,No,Yes,No,No,Yes,33.76,382.93,No
Female,25,Yes,No,8,Month-to-month,Electronic check,No,Yes,Yes,No,Yes,31.27,237.51,No
Female,30,No,No,47,Month-to-month,Mailed check,Fiber optic,Yes,No,No,Yes,74.15,3481.07,Yes
Female,27,No,No,33,Month-to-month,Mailed check,DSL,Yes,Yes,No,Yes,60.45,1964.25,Yes
Male,72,Yes,Yes,19,Two year,Bank transfer,DSL,Yes,No,No,Yes,58.99,1106.34,No
Male,78,No,Yes,18,Month-to-month,Bank transfer,DSL,Yes,Yes,No,Yes,59.82,1089.37,Yes
Male,53,Yes,No,2,One year,Electronic check,Fiber optic,Yes,No,No,No,69.1,128.41,No
Female,56,No,No,61,Month-to-month,Electronic check,Fiber optic,Yes,No,No,No,63.36,3849.18,No
Male,58,No,No,60,Month-to-month,Electronic check,Fiber optic,Yes,Yes,Yes,Yes,90.5,5451.77,Yes
Female,55,No,Yes,39,Two year,Electronic check,Fiber optic,Yes,No,Yes,Yes,89.21,3486.35,No
Female,51,No,Yes,25,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,No,82.81,2084.06,Yes
Male,79,Yes,Yes,15,Two year,Electronic check,No,Yes,No,Yes,Yes,40.75,595.55,No
Male,63,No,No,22,Month-to-month,Electronic check,DSL,Yes,No,No,No,46.98,1027.95,No
Male,23,No,No,66,Month-to-month,Bank transfer,DSL,Yes,No,No,Yes,55.39,3655.59,No
Female,42,Yes,No,6,Two year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,88.77,537.16,No
Female,78,Yes,No,59,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,Yes,84.91,5055.18,No
Male,43,No,Yes,21,Two year,Electronic check,Fiber optic,Yes,Yes,Yes,No,76.77,1613.94,No
Male,30,No,No,19,Two year,Bank transfer,No,Yes,No,No,No,16.59,336.85,No
Female,71,Yes,Yes,58,Month-to-month,Electronic check,DSL,Yes,No,Yes,Yes,62.22,3654.64,No
Male,56,No,Yes,69,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,No,76.62,5320.79,No
Male,52,No,No,71,Two year,Mailed check,No,Yes,No,No,Yes,33.55,2384.9,No
Male,44,Yes,No,19,Month-to-month,Credit card,Fiber optic,Yes,Yes,No,No,70.95,1371.03,No
Male,25,Yes,Yes,42,One year,Electronic check,Fiber optic,No,No,Yes,Yes,78.74,3309.74,No
Male,41,No,Yes,21,Month-to-month,Credit card,DSL,Yes,Yes,No,No,53.56,1123.94,No
Female,45,No,No,13,Month-to-month,Electronic check,Fiber optic,Yes,Yes,Yes,No,88.83,1171.65,Yes
Female,75,No,Yes,27,Month-to-month,Electronic check,DSL,No,No,No,Yes,51.17,1399.21,No
Female,37,Yes,No,4,One year,Electronic check,Fiber optic,Yes,No,No,No,62.26,259.17,No
Female,27,No,No,11,One year,Bank transfer,Fiber optic,Yes,No,Yes,No,74.58,817.0,Yes
Female,44,No,Yes,42,One year,Mailed check,No,Yes,No,Yes,No,42.04,1756.02,No
Male,79,No,Yes,49,Month-to-month,Mailed check,Fiber optic,Yes,No,No,Yes,84.17,4100.23,Yes
Male,47,Yes,Yes,19,Month-to-month,Credit card,DSL,No,No,Yes,No,57.7,1099.51,No
Female,41,No,No,40,Month-to-month,Mailed check,No,No,No,Yes,Yes,38.51,1545.04,No
Male,59,Yes,No,55,Month-to-month,Electronic check,Fiber optic,Yes,Yes,Yes,No,84.56,4667.67,No
Female,58,Yes,No,64,Month-to-month,Bank transfer,Fiber optic,Yes,No,Yes,Yes,83.81,5334.35,Yes
Female,36,No,Yes,40,One year,Electronic check,Fiber optic,Yes,No,No,No,74.34,2975.54,No
Male,78,No,No,17,Month-to-month,Mailed check,Fiber optic,Yes,Yes,No,No,77.53,1313.98,Yes
Female,54,Yes,Yes,51,Month-to-month,Credit card,No,Yes,No,No,No,29.22,1489.19,No
Female,21,No,Yes,12,One year,Mailed check,DSL,Yes,No,No,No,47.01,588.99,No
Male,43,Yes,No,10,Month-to-month,Electronic check,Fiber optic,No,No,No,No,63.38,659.4,Yes
Male,75,Yes,No,25,Two year,Mailed check,Fiber optic,No,No,Yes,No,69.79,1765.09,No
Female,42,Yes,Yes,23,Month-to-month,Electronic check,Fiber optic,Yes,Yes,Yes,No,85.98,1979.52,No
Female,53,Yes,No,10,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,Yes,86.52,861.37,No
Male,55,No,No,3,Two year,Mailed check,Fiber optic,No,No,Yes,No,74.96,248.96,No
Female,61,No,Yes,68,One year,Electronic check,Fiber optic,Yes,No,No,Yes,79.88,5465.9,No
Male,72,No,Yes,48,Two year,Electronic check,DSL,Yes,Yes,Yes,No,53.94,2621.09,No
Female,27,Yes,No,51,Month-to-month,Mailed check,Fiber optic,Yes,Yes,Yes,Yes,92.41,4722.66,Yes
Female,50,Yes,Yes,4,Month-to-month,Mailed check,Fiber optic,Yes,Yes,No,Yes,77.3,309.98,Yes
Male,51,Yes,No,57,One year,Electronic check,Fiber optic,Yes,Yes,Yes,Yes,85.75,4901.59,Yes
Female,27,No,No,26,Month-to-month,Credit card,No,Yes,No,No,No,20.82,556.46,Yes
Female,59,Yes,No,53,One year,Electronic check,No,No,No,No,Yes,27.4,1444.2,No
Female,25,Yes,No,35,Month-to-month,Electronic check,No,Yes,Yes,Yes,No,35.67,1244.46,No
Male,46,No,No,17,Month-to-month,Credit card,Fiber optic,Yes,No,Yes,Yes,78.04,1387.71,Yes
Male,38,No,No,18,Month-to-month,Electronic check,DSL,Yes,Yes,No,Yes,51.05,910.97,Yes
Male,27,Yes,Yes,10,One year,Credit card,DSL,Yes,No,No,No,48.99,506.91,No
Male,68,Yes,Yes,59,Month-to-month,Bank transfer,No,Yes,No,No,Yes,36.07,2117.83,No
Male,33,No,No,30,Two year,Mailed check,No,Yes,No,Yes,No,36.59,1095.13,No
Female,33,Yes,Yes,56,Month-to-month,Electronic check,Fiber optic,No,No,No,No,70.0,3901.74,No
Female,70,Yes,Yes,59,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,No,77.01,4525.27,No
Female,72,No,Yes,12,Month-to-month,Credit card,Fiber optic,No,No,Yes,No,71.23,867.13,Yes
Male,20,Yes,No,23,One year,Electronic check,Fiber optic,No,No,Yes,Yes,79.44,1837.19,No
Male,35,Yes,Yes,8,Two year,Bank transfer,DSL,Yes,No,No,No,54.02,468.99,No
Female,61,Yes,No,0,Month-to-month,Credit card,Fiber optic,No,No,No,No,73.06,0.52,Yes
Male,66,Yes,No,71,Month-to-month,Bank transfer,Fiber optic,No,No,No,No,62.7,4454.68,Yes
Female,79,Yes,No,47,One year,Electronic check,Fiber optic,Yes,Yes,Yes,No,79.67,3743.68,No
Female,52,Yes,Yes,32,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,No,70.15,2225.49,No
Male,18,No,No,14,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,No,79.67,1127.22,No
Male,72,Yes,Yes,42,One year,Electronic check,DSL,Yes,No,No,No,47.1,1974.67,No
Male,27,No,No,39,Month-to-month,Credit card,DSL,Yes,No,No,No,49.37,1896.79,No
Male,25,No,No,16,One year,Electronic check,DSL,Yes,Yes,Yes,Yes,64.05,1046.89,Yes
Male,59,Yes,Yes,1,One year,Credit card,Fiber optic,Yes,No,No,No,73.63,62.14,No
Female,55,Yes,No,33,Month-to-month,Electronic check,Fiber optic,Yes,No,No,No,77.37,2559.8,Yes
Female,21,No,No,36,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,No,76.58,2764.21,Yes
Female,28,No,No,57,Month-to-month,Bank transfer,Fiber optic,Yes,No,Yes,Yes,93.32,5323.18,Yes
Female,54,No,No,28,One year,Electronic check,Fiber optic,Yes,Yes,No,Yes,79.46,2204.8,No
Female,33,Yes,No,6,One year,Electronic check,Fiber optic,Yes,No,No,No,66.51,427.0,No
Male,60,Yes,No,63,Month-to-month,Electronic check,Fiber optic,Yes,No,No,Yes,80.43,5052.62,No
Male,43,Yes,No,29,Month-to-month,Credit card,DSL,Yes,No,Yes,Yes,60.38,1701.87,No
Female,54,No,Yes,51,Month-to-month,Electronic check,Fiber optic,No,No,Yes,No,76.12,3899.08,No
Male,47,No,No,3,Month-to-month,Bank transfer,DSL,No,No,Yes,Yes,61.27,200.12,Yes
Male,40,Yes,No,2,Month-to-month,Mailed check,DSL,No,No,No,No,42.98,62.07,No
Female,39,No,No,1,Month-to-month,Mailed check,Fiber optic,Yes,Yes,Yes,Yes,85.45,85.34,Yes
Female,61,Yes,No,56,Month-to-month,Electronic check,No,Yes,Yes,Yes,Yes,38.64,2185.22,Yes
Female,49,No,No,17,One year,Electronic check,Fiber optic,Yes,No,No,No,75.16,1305.92,No
Female,54,Yes,No,56,One year,Credit card,Fiber optic,Yes,No,No,No,68.89,3869.89,No
Male,53,No,Yes,68,Month-to-month,Bank transfer,DSL,Yes,No,Yes,No,59.56,4066.35,No
Female,30,No,Yes,47,One year,Credit card,DSL,Yes,No,Yes,Yes,64.94,3066.75,No
Female,74,No,No,70,Month-to-month,Bank transfer,No,Yes,Yes,No,No,26.94,1883.02,No
Female,52,Yes,Yes,66,Month-to-month,Credit card,Fiber optic,Yes,No,Yes,Yes,86.63,5695.93,No
Female,62,No,Yes,52,Two year,Credit card,Fiber optic,Yes,No,Yes,Yes,87.56,4547.9,No
Female,72,No,Yes,57,Month-to-month,Mailed check,No,No,No,Yes,Yes,35.69,2056.96,No
Male,75,Yes,No,43,Month-to-month,Credit card,Fiber optic,Yes,Yes,Yes,Yes,87.06,3765.68,Yes
Male,59,Yes,No,15,Month-to-month,Electronic check,DSL,Yes,Yes,No,No,47.57,717.57,Yes
Male,66,No,No,7,One year,Electronic check,Fiber optic,Yes,Yes,Yes,No,77.98,539.21,No
Male,47,Yes,Yes,27,Month-to-month,Mailed check,Fiber optic,Yes,No,No,No,68.47,1883.37,No
Male,63,Yes,No,34,Two year,Mailed check,Fiber optic,No,No,Yes,No,73.08,2487.21,No
Male,37,Yes,Yes,25,Month-to-month,Mailed check,Fiber optic,Yes,No,No,Yes,68.3,1720.36,Yes
Female,62,Yes,No,7,Month-to-month,Mailed check,Fiber optic,Yes,Yes,No,No,76.1,508.55,No
Female,23,Yes,No,36,Month-to-month,Mailed check,Fiber optic,Yes,No,No,No,71.61,2576.67,No
Female,74,No,Yes,35,One year,Credit card,Fiber optic,Yes,No,Yes,Yes,82.09,2894.88,No
Female,33,Yes,No,68,Month-to-month,Electronic check,DSL,Yes,No,No,Yes,52.42,3537.08,Yes
Female,58,No,Yes,68,Two year,Electronic check,Fiber optic,Yes,Yes,No,Yes,76.57,5205.77,No
Female,18,Yes,No,44,Two year,Bank transfer,Fiber optic,Yes,No,Yes,No,71.38,3148.97,No
Male,27,Yes,Yes,61,Month-to-month,Bank transfer,Fiber optic,Yes,No,Yes,No,76.3,4683.07,No
Female,79,Yes,No,22,Month-to-month,Credit card,No,Yes,No,Yes,No,32.1,725.78,No
Male,69,No,No,69,Month-to-month,Electronic check,Fiber optic,Yes,No,No,No,74.59,5180.73,No
Male,31,No,No,67,One year,Electronic check,Fiber optic,Yes,Yes,Yes,Yes,90.37,6071.53,No
Female,26,Yes,No,9,One year,Credit card,Fiber optic,Yes,Yes,Yes,Yes,94.24,865.91,No
Female,68,Yes,Yes,50,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,No,73.56,3658.95,Yes
Male,79,Yes,No,32,Two year,Bank transfer,DSL,Yes,Yes,Yes,No,56.44,1786.54,No
Male,28,Yes,No,19,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,88.7,1718.98,Yes
Male,59,No,No,29,Two year,Mailed check,Fiber optic,Yes,No,No,No,68.41,1974.74,Yes
Male,35,Yes,Yes,65,Two year,Credit card,DSL,No,No,Yes,Yes,52.27,3386.84,No
Male,64,No,Yes,66,Month-to-month,Mailed check,No,Yes,No,Yes,No,34.1,2204.54,Yes
Female,43,No,Yes,24,Month-to-month,Electronic check,Fiber optic,Yes,Yes,Yes,No,73.05,1774.42,Yes
Female,25,Yes,No,33,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,No,No,72.58,2372.66,Yes
Female,38,No,No,37,Two year,Electronic check,Fiber optic,Yes,Yes,No,Yes,77.62,2855.66,No
Female,51,Yes,No,52,Month-to-month,Electronic check,Fiber optic,Yes,Yes,Yes,Yes,90.62,4734.05,Yes
Female,67,No,No,34,Two year,Mailed check,Fiber optic,Yes,No,No,No,74.77,2497.93,No
Female,19,Yes,Yes,28,Month-to-month,Mailed check,DSL,No,No,No,No,43.38,1241.71,No
Male,77,No,No,66,Month-to-month,Bank transfer,No,Yes,No,Yes,No,31.02,2030.69,No
Male,58,Yes,Yes,26,Two year,Electronic check,Fiber optic,Yes,No,No,Yes,80.79,2097.62,No
Female,72,Yes,Yes,19,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,No,69.17,1298.64,No
Male,75,No,Yes,23,One year,Electronic check,Fiber optic,Yes,No,Yes,Yes,85.32,1935.82,No
Male,27,Yes,Yes,23,Month-to-month,Credit card,Fiber optic,Yes,Yes,No,No,75.71,1726.09,No
Male,23,Yes,No,39,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,Yes,76.05,2949.29,Yes
Female,66,No,No,47,Month-to-month,Credit card,Fiber optic,Yes,Yes,No,Yes,78.5,3664.73,No
Male,29,Yes,Yes,9,Month-to-month,Electronic check,No,Yes,No,No,Yes,32.5,323.39,Yes
Female,27,No,Yes,63,One year,Electronic check,Fiber optic,Yes,No,Yes,Yes,91.65,5754.79,No
Male,47,No,No,18,Month-to-month,Bank transfer,Fiber optic,No,No,No,No,58.95,1023.41,No
Male,74,No,Yes,8,Month-to-month,Electronic check,No,Yes,Yes,Yes,Yes,42.25,296.74,Yes
Male,67,Yes,No,48,Month-to-month,Bank transfer,No,No,No,No,No,26.77,1293.61,No
Male,50,Yes,No,15,One year,Credit card,Fiber optic,No,No,No,No,69.86,1013.17,No
Female,30,No,No,54,Two year,Credit card,Fiber optic,Yes,No,Yes,Yes,83.62,4512.03,No
Male,38,Yes,No,68,One year,Mailed check,Fiber optic,Yes,Yes,No,No,72.64,4979.14,No
Male,60,Yes,No,49,Two year,Bank transfer,DSL,Yes,Yes,No,No,55.3,2713.2,No
Female,27,Yes,No,55,Month-to-month,Electronic check,Fiber optic,Yes,No,No,No,72.4,3988.52,Yes
Female,50,Yes,No,35,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,Yes,86.89,3030.58,Yes
Male,18,No,No,24,Month-to-month,Electronic check,DSL,Yes,No,No,No,55.66,1335.51,No
Female,38,No,No,44,Month-to-month,Electronic check,Fiber optic,Yes,Yes,Yes,No,74.09,3255.58,Yes
Female,33,No,No,25,One year,Mailed check,DSL,Yes,No,Yes,No,50.02,1256.79,No
Male,60,No,No,63,One year,Electronic check,Fiber optic,Yes,No,Yes,No,75.28,4775.89,No
Female,74,Yes,Yes,33,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,No,Yes,70.74,2325.8,No
Female,27,Yes,No,35,Two year,Electronic check,No,No,No,No,Yes,33.56,1158.92,No
Female,67,Yes,No,48,Month-to-month,Electronic check,DSL,Yes,Yes,Yes,No,53.52,2567.48,No
Male,58,No,No,13,One year,Bank transfer,DSL,Yes,No,Yes,No,56.5,753.76,No
Male,78,Yes,No,40,Month-to-month,Mailed check,Fiber optic,No,No,Yes,Yes,75.64,3019.0,No
Male,74,No,Yes,54,One year,Credit card,Fiber optic,Yes,Yes,No,Yes,72.06,3896.82,No
Female,24,Yes,Yes,55,Month-to-month,Electronic check,DSL,No,No,Yes,Yes,65.9,3634.93,No
Female,64,No,No,16,Two year,Electronic check,Fiber optic,Yes,No,No,Yes,74.12,1228.91,No
Male,54,No,No,3,Two year,Electronic check,No,Yes,No,No,Yes,41.54,143.06,No
Male,25,No,No,13,Month-to-month,Mailed check,Fiber optic,Yes,No,No,Yes,84.03,1074.9,No
Female,33,Yes,No,58,Month-to-month,Electronic check,DSL,Yes,Yes,No,Yes,59.98,3435.26,No
Female,75,No,Yes,19,One year,Bank transfer,DSL,Yes,Yes,Yes,Yes,57.52,1095.96,No
Female,51,Yes,No,4,One year,Electronic check,Fiber optic,Yes,No,Yes,No,76.3,291.09,Yes
Male,38,Yes,No,43,Month-to-month,Credit card,Fiber optic,Yes,No,Yes,Yes,96.43,4136.75,Yes
Female,37,Yes,No,63,One year,Mailed check,No,Yes,Yes,No,No,30.14,1878.96,No
Male,69,Yes,No,16,Two year,Bank transfer,DSL,Yes,No,Yes,Yes,64.16,1016.51,No
Female,35,No,Yes,3,One year,Electronic check,Fiber optic,Yes,No,Yes,No,74.94,214.32,Yes
Male,27,Yes,No,10,Month-to-month,Electronic check,No,No,No,Yes,No,32.44,322.05,No
Male,53,Yes,No,9,Two year,Electronic check,DSL,Yes,No,Yes,Yes,66.85,588.18,No
Male,79,No,No,14,Month-to-month,Mailed check,No,Yes,No,Yes,No,34.42,467.53,Yes
